Date,Time,Location,Home Club
07/08/2024,07:01:00,Planet Fitness Falmouth MA - Falmouth,NA
07/09/2024,07:13:00,Planet Fitness Falmouth MA - Falmouth,NA
08/12/2024,10:01:00,Planet Fitness Falmouth MA - Falmouth,NA
08/13/2024,12:46:00,Planet Fitness Falmouth MA - Falmouth,NA
08/14/2024,10:09:00,Planet Fitness Falmouth MA - Falmouth,NA
08/22/2024,12:14:00,Planet Fitness Worcester - Worcester,NA
08/24/2024,08:28:00,Planet Fitness Worcester - Worcester,NA
08/27/2024,08:53:00,Planet Fitness Worcester - Worcester,NA
08/31/2024,08:41:00,Planet Fitness Worcester - Worcester,NA
09/01/2024,10:13:00,Planet Fitness Worcester - Worcester,NA
09/03/2024,08:38:00,Planet Fitness Worcester - Worcester,NA
09/10/2024,08:50:00,Planet Fitness Worcester - Worcester,NA
09/21/2024,14:12:00,Planet Fitness Worcester - Worcester,NA
09/24/2024,08:55:00,Planet Fitness Worcester - Worcester,NA
09/26/2024,08:20:00,Planet Fitness Worcester - Worcester,NA
09/28/2024,10:51:00,Planet Fitness Worcester - Worcester,NA
10/04/2024,07:57:00,Planet Fitness Worcester - Worcester,NA
10/05/2024,11:03:00,Planet Fitness Worcester - Worcester,NA
10/08/2024,13:20:00,Planet Fitness Newburyport MA - Newburyport,X
10/09/2024,09:00:00,Planet Fitness Worcester - Worcester,NA
10/14/2024,09:21:00,Planet Fitness Worcester - Worcester,NA
10/15/2024,08:47:00,Planet Fitness Worcester - Worcester,NA
10/16/2024,07:10:00,Planet Fitness Worcester - Worcester,NA
10/17/2024,09:12:00,Planet Fitness Worcester - Worcester,NA
10/26/2024,10:35:00,Planet Fitness Worcester - Worcester,NA
10/29/2024,09:19:00,Planet Fitness Worcester - Worcester,NA
10/30/2024,09:17:00,Planet Fitness Worcester - Worcester,NA
11/09/2024,10:02:00,Planet Fitness Worcester - Worcester,NA
11/25/2024,09:37:00,Planet Fitness Worcester - Worcester,NA
11/26/2024,08:00:00,Planet Fitness Worcester - Worcester,NA
11/27/2024,06:16:00,Planet Fitness Worcester - Worcester,NA
